Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 19:32:25,2023-06-09 19:33:43,1m - 17.581s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 19:32:27,2023-06-09 19:33:05,38.495s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 19:32:27,2023-06-09 19:32:27,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 19:32:27,2023-06-09 19:32:40,13.058s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,,,2023-06-09 19:32:40,2023-06-09 19:32:40,0.001s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-09 19:32:40,2023-06-09 19:32:40,0.541s,PASSED
delay(1),Chrome 108.0.0.0,,,2023-06-09 19:32:40,2023-06-09 19:32:41,1.002s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-09 19:32:41,2023-06-09 19:32:41,0.000s,PASSED
"verifyElementClickable(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 19:32:41,2023-06-09 19:32:43,1.542s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 19:32:43,2023-06-09 19:32:44,1.550s,PASSED
"com.RSPage.checkout(Add_Object, Checkout_Object)",Chrome 108.0.0.0,,,2023-06-09 19:32:44,2023-06-09 19:32:51,6.172s,PASSED
