Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-12 09:18:10,2023-06-12 09:19:30,1m - 19.631s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-12 09:18:11,2023-06-12 09:18:52,40.226s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-12 09:18:12,2023-06-12 09:18:12,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-12 09:18:12,2023-06-12 09:18:24,12.618s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,"
What is this test script refers to ?
-> here i have first signup the form using wrong credentials and then signup using right credentials with asserting that values , then after adding on product to cart
and redirecting to the checkout then after i fill the form which was in the home page by using DDT , moreever i have also use Dynamic objects , dynamic keywords ,
Global variable ,test listeners and run that test script in chrome and mozilla combinely using test suite collection 

",,2023-06-12 09:18:24,2023-06-12 09:18:24,0.000s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-12 09:18:24,2023-06-12 09:18:25,0.649s,PASSED
delay(1),Chrome 108.0.0.0,,,2023-06-12 09:18:25,2023-06-12 09:18:26,1.002s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-12 09:18:26,2023-06-12 09:18:26,0.000s,PASSED
"verifyElementClickable(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-12 09:18:26,2023-06-12 09:18:27,1.434s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-12 09:18:27,2023-06-12 09:18:29,1.748s,PASSED
