Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 13:28:49,2023-06-09 13:28:58,9.244s,ERROR
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 13:28:56,2023-06-09 13:28:58,1.799s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 13:28:56,2023-06-09 13:28:56,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 13:28:56,2023-06-09 13:28:58,1.209s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 13:28:58,2023-06-09 13:28:58,0.551s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 13:28:58,2023-06-09 13:28:58,0.000s,PASSED
