Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 17:30:11,2023-06-09 17:31:33,1m - 22.322s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 17:30:12,2023-06-09 17:30:53,40.846s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 17:30:13,2023-06-09 17:30:13,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 17:30:13,2023-06-09 17:30:25,12.813s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,,,2023-06-09 17:30:25,2023-06-09 17:30:25,0.000s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-09 17:30:25,2023-06-09 17:30:26,0.653s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 17:30:26,2023-06-09 17:30:28,2.002s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-09 17:30:28,2023-06-09 17:30:28,0.000s,PASSED
"verifyElementClickable(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:30:28,2023-06-09 17:30:30,1.643s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:30:30,2023-06-09 17:30:31,1.657s,PASSED
"com.RSPage.checkout(Add_Object, Checkout_Object)",Chrome 108.0.0.0,,,2023-06-09 17:30:31,2023-06-09 17:30:37,6.027s,PASSED
"verifyElementText(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/a_iphone X""), ""iphone X"")",Chrome 108.0.0.0,,,2023-06-09 17:30:37,2023-06-09 17:30:38,0.572s,PASSED
