Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-12 10:06:39,2023-06-12 10:06:54,14.201s,ERROR
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.203s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.018s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.084s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.000s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:54,0.169s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:53,0.014s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-12 10:06:53,2023-06-12 10:06:54,0.069s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-12 10:06:54,2023-06-12 10:06:54,0.000s,PASSED
