Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 18:48:46,2023-06-09 18:49:08,21.650s,ERROR
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.106s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.021s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.001s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.086s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.013s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 18:49:08,2023-06-09 18:49:08,0.001s,PASSED
