Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 19:12:16,2023-06-09 19:12:41,24.754s,ERROR
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 19:12:39,2023-06-09 19:12:40,0.175s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 19:12:40,2023-06-09 19:12:40,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 19:12:40,2023-06-09 19:12:40,0.014s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 19:12:40,2023-06-09 19:12:40,0.084s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 19:12:40,2023-06-09 19:12:40,0.000s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 19:12:40,2023-06-09 19:12:41,0.153s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 19:12:41,2023-06-09 19:12:41,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 19:12:41,2023-06-09 19:12:41,0.014s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 19:12:41,2023-06-09 19:12:41,0.068s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 19:12:41,2023-06-09 19:12:41,0.000s,PASSED
