Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 15:21:31,2023-06-09 15:21:46,15.296s,ERROR
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 15:21:45,2023-06-09 15:21:46,0.181s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 15:21:45,2023-06-09 15:21:45,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 15:21:45,2023-06-09 15:21:45,0.021s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 15:21:45,2023-06-09 15:21:46,0.094s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.000s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.128s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.015s,ERROR
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.069s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 15:21:46,2023-06-09 15:21:46,0.000s,PASSED
