Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 17:46:57,2023-06-09 17:48:16,1m - 19.143s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 17:46:59,2023-06-09 17:47:39,40.031s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 17:46:59,2023-06-09 17:46:59,0.001s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 17:46:59,2023-06-09 17:47:12,12.745s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,,,2023-06-09 17:47:12,2023-06-09 17:47:12,0.000s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:12,2023-06-09 17:47:12,0.653s,PASSED
delay(1),Chrome 108.0.0.0,,,2023-06-09 17:47:12,2023-06-09 17:47:13,1.003s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-09 17:47:13,2023-06-09 17:47:13,0.000s,PASSED
"verifyElementClickable(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:13,2023-06-09 17:47:15,1.443s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:15,2023-06-09 17:47:17,1.985s,PASSED
"com.RSPage.checkout(Add_Object, Checkout_Object)",Chrome 108.0.0.0,,,2023-06-09 17:47:17,2023-06-09 17:47:23,6.208s,PASSED
"verifyElementText(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/a_iphone X""), ""iphone X"")",Chrome 108.0.0.0,,,2023-06-09 17:47:23,2023-06-09 17:47:24,0.558s,PASSED
"com.RSPage.payment(FinalCheckout, tnc, purchase)",Chrome 108.0.0.0,,,2023-06-09 17:47:24,2023-06-09 17:47:29,5.191s,PASSED
"verifyElementVisible(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/div_Success Thank you Your order will be delivered in next few weeks -)""), STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-06-09 17:47:29,2023-06-09 17:47:29,0.604s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/a_ProtoCommerce Home""))",Chrome 108.0.0.0,,,2023-06-09 17:47:29,2023-06-09 17:47:30,0.446s,PASSED
"com.RSPage.formdata(name, email, password, name_object, email_object, password_object)",Chrome 108.0.0.0,,,2023-06-09 17:47:30,2023-06-09 17:47:32,2.501s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/input_term  Conditions_btn btn-success btn-lg""))",Chrome 108.0.0.0,,,2023-06-09 17:47:32,2023-06-09 17:47:35,2.852s,PASSED
"verifyElementVisible(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/div_Success The Form has been submitted successfully""), STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-06-09 17:47:35,2023-06-09 17:47:36,0.611s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/strong_Success""))",Chrome 108.0.0.0,,,2023-06-09 17:47:36,2023-06-09 17:47:36,0.476s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 17:47:36,2023-06-09 17:47:38,2.002s,PASSED
Start tear down : TearDownMethod,Chrome 108.0.0.0,,,2023-06-09 17:47:38,2023-06-09 17:47:39,0.585s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-06-09 17:47:39,2023-06-09 17:47:39,0.000s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 17:47:39,2023-06-09 17:48:16,37.653s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 17:47:39,2023-06-09 17:47:39,0.000s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 17:47:39,2023-06-09 17:47:50,11.316s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,,,2023-06-09 17:47:50,2023-06-09 17:47:50,0.000s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:50,2023-06-09 17:47:51,0.572s,PASSED
delay(1),Chrome 108.0.0.0,,,2023-06-09 17:47:51,2023-06-09 17:47:52,1.001s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-09 17:47:52,2023-06-09 17:47:52,0.001s,PASSED
"verifyElementClickable(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:52,2023-06-09 17:47:53,1.571s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 17:47:53,2023-06-09 17:47:55,1.647s,PASSED
"com.RSPage.checkout(Add_Object, Checkout_Object)",Chrome 108.0.0.0,,,2023-06-09 17:47:55,2023-06-09 17:48:01,5.792s,PASSED
"verifyElementText(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/a_iphone X""), ""iphone X"")",Chrome 108.0.0.0,,,2023-06-09 17:48:01,2023-06-09 17:48:01,0.565s,PASSED
"com.RSPage.payment(FinalCheckout, tnc, purchase)",Chrome 108.0.0.0,,,2023-06-09 17:48:01,2023-06-09 17:48:07,5.174s,PASSED
"verifyElementVisible(findTestObject(""RahulShetty_Repo/assertion/Page_ProtoCommerce/div_Success Thank you Your order will be delivered in next few weeks -)""), STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-06-09 17:48:07,2023-06-09 17:48:07,0.458s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/a_ProtoCommerce Home""))",Chrome 108.0.0.0,,,2023-06-09 17:48:07,2023-06-09 17:48:08,0.549s,PASSED
