Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RahulShetty,Chrome 108.0.0.0,,,2023-06-09 13:41:02,2023-06-09 13:42:17,1m - 15.311s,PASSED
,,,,,,,
Test Cases/RahulShettyTestCase/RahulShettyLoginPage,Chrome 108.0.0.0,,,2023-06-09 13:41:03,2023-06-09 13:41:43,39.899s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-06-09 13:41:03,2023-06-09 13:41:03,0.001s,PASSED
Start setup action : SetupMethod,Chrome 108.0.0.0,,,2023-06-09 13:41:03,2023-06-09 13:41:19,15.511s,PASSED
"homevariable = ""Home""",Chrome 108.0.0.0,,,2023-06-09 13:41:19,2023-06-09 13:41:19,0.001s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":homevariable]))",Chrome 108.0.0.0,,,2023-06-09 13:41:19,2023-06-09 13:41:20,0.652s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 13:41:20,2023-06-09 13:41:22,2.002s,PASSED
"shopvariable = ""shop""",Chrome 108.0.0.0,,,2023-06-09 13:41:22,2023-06-09 13:41:22,0.000s,PASSED
"click(findTestObject(""RahulShetty_Repo/RahulShetty_Repo/DynamicObjectCreation/a_Shop"", [""text"":shopvariable]))",Chrome 108.0.0.0,,,2023-06-09 13:41:22,2023-06-09 13:41:23,1.661s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 13:41:23,2023-06-09 13:41:25,2.003s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/button_Add""))",Chrome 108.0.0.0,,,2023-06-09 13:41:25,2023-06-09 13:41:26,0.489s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 13:41:26,2023-06-09 13:41:28,2.002s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/a_Checkout ( 1 )            (current)""))",Chrome 108.0.0.0,,,2023-06-09 13:41:28,2023-06-09 13:41:30,1.775s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/button_Checkout""))",Chrome 108.0.0.0,,,2023-06-09 13:41:30,2023-06-09 13:41:30,0.582s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/label_I agree with the term  Conditions""))",Chrome 108.0.0.0,,,2023-06-09 13:41:30,2023-06-09 13:41:32,1.667s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/input_term  Conditions_btn btn-success btn-lg""))",Chrome 108.0.0.0,,,2023-06-09 13:41:32,2023-06-09 13:41:34,1.662s,PASSED
"click(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/a_ProtoCommerce Home""))",Chrome 108.0.0.0,,,2023-06-09 13:41:34,2023-06-09 13:41:34,0.661s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-06-09 13:41:34,2023-06-09 13:41:36,2.003s,PASSED
"setText(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/input_Name_name""), name)",Chrome 108.0.0.0,,,2023-06-09 13:41:36,2023-06-09 13:41:37,0.817s,PASSED
"setText(findTestObject(""Object Repository/RahulShetty_Repo/RahulShetty_Repo/Page_ProtoCommerce/Page_ProtoCommerce/input_Email_email""), email)",Chrome 108.0.0.0,,,2023-06-09 13:41:37,2023-06-09 13:41:38,0.832s,PASSED
